driver_id,driver_code,constructor_id,season,round,race_id,circuit_id,source,observed_at,cutoff_utc
albon,ALB,williams,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
alonso,ALO,alpine,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
bottas,BOT,alfa,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
gasly,GAS,alphatauri,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
hamilton,HAM,mercedes,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
hulkenberg,HUL,aston_martin,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
kevin_magnussen,MAG,haas,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
latifi,LAT,williams,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
leclerc,LEC,ferrari,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
max_verstappen,VER,red_bull,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
mick_schumacher,MSC,haas,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
norris,NOR,mclaren,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
ocon,OCO,alpine,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
perez,PER,red_bull,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
ricciardo,RIC,mclaren,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
russell,RUS,mercedes,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
sainz,SAI,ferrari,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
stroll,STR,aston_martin,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
tsunoda,TSU,alphatauri,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
zhou,ZHO,alfa,2022,2,2022_02,jeddah,previous_event_projection,2022-03-21 00:00:00+00:00,2022-03-25T05:00:00+00:00
albon,ALB,williams,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
alonso,ALO,alpine,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
bottas,BOT,alfa,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
gasly,GAS,alphatauri,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
hamilton,HAM,mercedes,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
hulkenberg,HUL,aston_martin,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
kevin_magnussen,MAG,haas,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
latifi,LAT,williams,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
leclerc,LEC,ferrari,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
max_verstappen,VER,red_bull,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
norris,NOR,mclaren,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
ocon,OCO,alpine,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
perez,PER,red_bull,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
ricciardo,RIC,mclaren,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
russell,RUS,mercedes,2022,3,2022_03,albert_park,previous_event_projection,2022-03-28 00:00:00+00:00,2022-04-07T17:00:00+00:00
