driver_code,american_odds,source,retrieved
ANT,175,thespread.com 2026 Spanish GP outright winner board,2026-09-11
NOR,325,thespread.com 2026 Spanish GP outright winner board,2026-09-11
RUS,450,thespread.com 2026 Spanish GP outright winner board,2026-09-11
HAM,700,thespread.com 2026 Spanish GP outright winner board,2026-09-11
LEC,800,thespread.com 2026 Spanish GP outright winner board,2026-09-11
VER,1000,thespread.com 2026 Spanish GP outright winner board,2026-09-11
PIA,1100,thespread.com 2026 Spanish GP outright winner board,2026-09-11
LAW,15000,thespread.com 2026 Spanish GP outright winner board,2026-09-11
LIN,40000,thespread.com 2026 Spanish GP outright winner board,2026-09-11
GAS,40000,thespread.com 2026 Spanish GP outright winner board,2026-09-11
TSU,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
BOR,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
COL,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
HUL,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
BEA,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
OCO,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
SAI,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
ALB,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
ALO,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
PER,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
BOT,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
STR,50000,"thespread.com: remaining drivers quoted at +50000",2026-09-11
