outcome,probability_column,n,predicted_mean,observed_rate,ece,brier,arm
winner,win_probability,874,0.05034324942791762,0.05034324942791762,0.02067711670480549,0.024943400835240274,incumbent
podium,podium_probability,874,0.15102974828375287,0.15102974828375287,0.02701018306636156,0.08280868620709383,incumbent
top10,top10_probability,874,0.5034324942791762,0.5034324942791762,0.07371990846681924,0.17617566138443935,incumbent
dnf,dnf_probability,874,0.13456467582671894,0.12356979405034325,0.039460226313796275,0.11213260340830064,incumbent
finish_inside_p10_p90,finish_p10..finish_p90,874,0.8,0.7883295194508009,0.01167048054919917,,incumbent
winner,win_probability,874,0.05034324942791762,0.05034324942791762,0.04715183066361556,0.034905428970251715,posterior_spread
podium,podium_probability,874,0.15102974828375287,0.15102974828375287,0.04556830663615562,0.0863812898569794,posterior_spread
top10,top10_probability,874,0.5034324942791762,0.5034324942791762,0.061550114416475975,0.17372177317505724,posterior_spread
dnf,dnf_probability,874,0.13456467582671894,0.12356979405034325,0.039460226313796275,0.11213260340830063,posterior_spread
finish_inside_p10_p90,finish_p10..finish_p90,874,0.8,0.8890160183066361,0.08901601830663608,,posterior_spread
winner,win_probability,874,0.05034324942791762,0.05034324942791762,0.01721155606407323,0.022719285120137298,fitted_budget
podium,podium_probability,874,0.15102974828375287,0.15102974828375287,0.08915697940503432,0.10389437795766591,fitted_budget
top10,top10_probability,874,0.5034324942791762,0.5034324942791762,0.13357471395881004,0.19502310431350112,fitted_budget
dnf,dnf_probability,874,0.13456467582671894,0.12356979405034325,0.039460226313796275,0.11213260340830064,fitted_budget
finish_inside_p10_p90,finish_p10..finish_p90,874,0.8,0.631578947368421,0.16842105263157903,,fitted_budget
winner,win_probability,874,0.05034324942791762,0.05034324942791762,0.02634324942791762,0.025510262631578948,pace_target
podium,podium_probability,874,0.15102974828375287,0.15102974828375287,0.031121281464530887,0.08292646991990846,pace_target
top10,top10_probability,874,0.5034324942791762,0.5034324942791762,0.06749931350114417,0.17548481989702516,pace_target
dnf,dnf_probability,874,0.13456467582671894,0.12356979405034325,0.039460226313796275,0.11213260340830064,pace_target
finish_inside_p10_p90,finish_p10..finish_p90,874,0.8,0.782608695652174,0.017391304347826098,,pace_target
winner,win_probability,874,0.05034324942791762,0.05034324942791762,0.04933924485125858,0.033998662368421056,rebuilt
podium,podium_probability,874,0.15102974828375287,0.15102974828375287,0.04374771167048054,0.08433070379862699,rebuilt
top10,top10_probability,874,0.5034324942791762,0.5034324942791762,0.041788443935926796,0.17101684683066362,rebuilt
dnf,dnf_probability,874,0.13456467582671894,0.12356979405034325,0.039460226313796275,0.11213260340830064,rebuilt
finish_inside_p10_p90,finish_p10..finish_p90,874,0.8,0.8775743707093822,0.07757437070938211,,rebuilt
