race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model
2022_01,0.0,0.0,7.0,0.09298245614035087,6.4,0.31336340207752955,20.0,3.833905226164194,0.06231989375,full
2022_02,0.0,1.0,2.0,0.6967032967032967,3.5789473684210527,0.6326590867483685,19.0,1.6334744902623417,0.044697843749999994,full
2022_03,0.0,0.0,4.0,0.7916666666666667,4.9,0.3933089313149787,20.0,1.8101780547520732,0.042638834375000004,full
2022_04,1.0,1.0,1.0,0.5479876160990712,5.6,0.806321454830414,20.0,1.4910994754860167,0.036237575,full
2022_05,1.0,1.0,1.0,0.8651960784313727,3.4,0.9854490487855379,20.0,1.2267297914485522,0.030801173437500003,full
2022_06,1.0,1.0,1.0,0.9133126934984519,2.8,0.8802890519931065,20.0,1.277888487276104,0.03166983281249999,full
2022_07,0.0,1.0,3.0,0.8627450980392157,2.3,0.6759646247415929,20.0,1.7712218180105068,0.0433223203125,full
2022_08,1.0,1.0,1.0,0.8088235294117646,4.0,0.9028355767502371,20.0,1.1151228407950993,0.0285025765625,full
2022_09,1.0,1.0,1.0,0.7156862745098039,3.9,0.8571052196843313,20.0,1.025826618942462,0.025816870312499997,full
2022_10,0.0,1.0,2.0,0.7274725274725276,5.0,0.5030453126077012,20.0,1.6515628387347714,0.050184848437500006,full
2022_11,0.0,0.0,5.0,0.8382352941176472,3.6,0.6963737249545335,20.0,4.166915255056936,0.0676342421875,full
2022_12,1.0,1.0,1.0,0.7970588235294117,3.4,0.9233797900342092,20.0,0.6536861116790316,0.014637295312499996,full
2022_13,1.0,1.0,1.0,0.7999999999999999,2.6,0.9510261813892709,20.0,0.5696029944684904,0.012146720312500001,full
2022_14,1.0,1.0,1.0,0.7192982456140351,4.3,0.8042564171934684,20.0,0.6861715668235202,0.015590123437500002,full
2022_15,1.0,1.0,1.0,0.7729618163054695,3.0,0.9311429737414604,20.0,0.5525160508201997,0.0116887765625,full
2022_16,1.0,1.0,1.0,0.7852941176470588,3.6,0.9339092046216405,20.0,0.5755863918208007,0.012065450000000002,full
2022_17,0.0,0.0,6.0,0.35824175824175825,5.0,0.2610817206603437,20.0,3.5578511917075324,0.0640680328125,full
2022_18,1.0,1.0,1.0,0.6119711042311662,3.9,0.8924396175890481,20.0,0.7447036674743474,0.018062012499999995,full
2022_19,1.0,1.0,1.0,0.8014705882352942,3.6,0.9228329600513825,20.0,0.7882823756749839,0.018411059374999993,full
2022_20,1.0,1.0,1.0,0.7456140350877193,2.8,0.8861952434874656,20.0,0.7518361769086249,0.017294624999999997,full
2022_21,0.0,0.0,6.0,0.8431372549019609,3.9,0.2711632248823574,20.0,3.1760558276852726,0.06032317500000001,full
2022_22,1.0,1.0,1.0,0.6859649122807018,3.7,0.9443051637828295,20.0,0.7633014404831522,0.0174949921875,full
2023_01,1.0,1.0,1.0,0.5931372549019609,5.1,0.8706688760729636,20.0,0.6713856887784326,0.014898120312500002,full
2023_02,0.0,0.0,4.0,0.7585139318885449,3.1,0.6296241243692887,20.0,2.192610239785474,0.0531501875,full
2023_03,1.0,1.0,1.0,0.5710784313725491,5.1,0.8157572538274883,20.0,0.8079970222388874,0.0185287859375,full
2023_04,0.0,1.0,2.0,0.7791537667698658,3.2,0.8341629842127403,20.0,1.8838747581358606,0.05082427500000001,full
2023_05,1.0,1.0,1.0,0.7699248120300751,2.8,0.8959703846195658,20.0,0.7410252608044092,0.016637040624999995,full
2023_06,1.0,1.0,1.0,0.6140350877192983,4.3,0.806321454830414,20.0,0.8468812805019873,0.019714129687500005,full
2023_07,1.0,1.0,1.0,0.7218045112781954,3.3,0.7184486708452613,20.0,0.8633425575560594,0.019565898437499996,full
2023_08,1.0,1.0,1.0,0.7729618163054695,2.9,0.7852032916936653,20.0,0.7770724154977066,0.016960940625,full
2023_09,1.0,1.0,1.0,0.819298245614035,3.0,0.8529418003742321,20.0,0.4895942790107398,0.008844378125000002,full
2023_10,1.0,1.0,1.0,0.6676986584107326,4.0,0.7385162258326089,20.0,0.4486336035095431,0.0077845609375000015,full
2023_11,1.0,1.0,1.0,0.826625386996904,3.2,0.7074940474507528,20.0,0.4236927263824853,0.007141593749999999,full
2023_12,1.0,1.0,1.0,0.8864809081527348,3.3,0.812732070818194,20.0,0.3974969384589874,0.0064175531249999985,full
2023_13,1.0,1.0,1.0,0.6960784313725491,3.3,0.7140494103307808,20.0,0.4371492923747884,0.007285395312500001,full
2023_14,1.0,1.0,1.0,0.7853457172342622,3.1578947368421053,0.9685757681110965,19.0,0.28701562790862034,0.0038296940789473667,full
2023_15,0.0,1.0,2.0,0.5,4.526315789473684,0.6058705141545793,19.0,2.5288585373171832,0.06870951480263157,full
2023_16,1.0,1.0,1.0,0.8428571428571429,4.1,0.8391853250139395,20.0,0.4945012608461357,0.009132775,full
2023_17,1.0,1.0,1.0,0.7549019607843138,3.0526315789473686,0.8968270142695045,19.0,0.40421588870773234,0.007059302631578945,full
2023_18,1.0,1.0,1.0,0.5122549019607844,5.2,0.9228329600513825,20.0,0.4204518504164877,0.0069189812499999975,full
2023_19,1.0,1.0,1.0,0.7720588235294118,3.263157894736842,0.7976614538661513,19.0,0.5177243654571473,0.010155649671052631,full
2023_20,1.0,1.0,1.0,0.6395604395604396,3.789473684210526,0.8391853250139395,19.0,0.3217560527855323,0.005066480263157893,full
2023_21,1.0,1.0,1.0,0.8035087719298245,3.2,0.9095565943566785,20.0,0.3993587896764036,0.0065000359375000025,full
2023_22,1.0,1.0,1.0,0.6706766917293233,3.1,0.9311429737414604,20.0,0.4588658848352796,0.0083012515625,full
2024_01,1.0,1.0,1.0,0.837593984962406,2.3,0.9473512398345234,20.0,0.3734215313994915,0.0059061812500000015,full
2024_02,1.0,1.0,1.0,0.7667698658410733,3.8,0.9402683711198732,20.0,0.37196988897437006,0.005930437499999998,full
2024_03,0.0,0.0,4.0,0.556372549019608,4.947368421052632,0.5108123274667773,19.0,2.5869393753531518,0.06600348848684208,full
2024_04,1.0,1.0,1.0,0.9338235294117647,2.0,0.9388755862097978,20.0,0.6906503003613582,0.014841171875000003,full
2024_05,1.0,1.0,1.0,0.9240196078431374,2.8,0.9339092046216405,20.0,0.5738097979713246,0.011514429687499998,full
2024_06,0.0,0.0,5.0,0.7894736842105263,2.9,0.7304460031250662,20.0,3.2901033341565684,0.06427539843749999,full
2024_07,1.0,1.0,1.0,0.7543859649122807,3.2,0.912519623570204,20.0,0.6030779834710774,0.012365829687499996,full
2024_08,0.0,1.0,2.0,0.8676470588235294,3.4,0.5199966198571524,20.0,1.9232928591899046,0.0490060109375,full
2024_09,1.0,1.0,1.0,0.8821428571428571,5.0,0.8207236354156459,20.0,0.7047138169314107,0.015681299999999995,full
2024_10,1.0,1.0,1.0,0.7909774436090224,3.0,0.8573291970546885,20.0,0.8666081089217034,0.019496210937500005,full
2024_11,0.0,0.0,5.0,0.4451127819548871,4.4,0.35070510213503236,20.0,2.9445639869795914,0.059990089062499995,full
2024_12,0.0,0.0,7.0,0.5273477812177503,4.526315789473684,0.4056439182092857,19.0,3.385077999782272,0.06573359868421053,full
2024_13,0.0,0.0,6.0,0.8701754385964912,2.0,0.25468414282615587,20.0,2.645075401940822,0.056139142187500005,full
2024_14,0.0,0.0,6.0,0.5947368421052631,3.7,0.3031998623352895,20.0,2.6809215337139576,0.05457530156249999,full
2024_15,0.0,1.0,2.0,0.8240601503759398,2.4,0.8645478846264829,20.0,1.8962869985819895,0.0454071625,full
