circuit_id,grid_finish_spearman,mean_abs_position_change,n_races,overtaking_difficulty,dnf_multiplier,circuit_dnf_rate,is_street,lap_length_m,pole_time_s,avg_lap_speed_kmh,field_spread_pct
suzuka,0.9157894736842105,1.95,7,0.98,0.9857949235542597,0.12779805087497395,False,5754.7169811320755,88.197,234.894396998486,1.5732777927080546
jeddah,0.894736842105263,2.1666666666666665,5,0.9230769230769231,1.1364194812118964,0.147324956951085,True,6100.0,87.511,250.9398818434254,1.142684194989711
monaco,0.8807533539731682,2.258169934640523,8,0.8846153846153846,1.0040977255901242,0.13017081864831626,True,3333.3333333333335,70.578,170.02465357476834,1.7641701113991557
catalunya,0.9087719298245613,2.4705882352941178,9,0.8461538461538463,0.868046612931432,0.1125332080239242,False,4621.212121212121,75.406,220.6238712617515,1.7435269282391526
zandvoort,0.8485533687159075,2.3676470588235294,6,0.8076923076923077,0.9306519863604619,0.12064934304081296,False,4236.111111111111,70.0075,217.83380352105135,1.651193797167363
shanghai,0.8553921568627452,2.5,5,0.75,0.9694624458016691,0.12568071513620346,False,5446.428571428572,91.547,214.17570053789703,1.447476619826645
marina_bay,0.8137844611528822,2.4210526315789473,6,0.7307692307692308,0.9446819158030818,0.12246817735801113,True,4959.677419354839,93.49950000000001,190.96186300116491,1.3895559899469418
ricard,0.8203007518796992,2.4246323529411766,4,0.7307692307692307,0.8374740663900415,0.10856979558902635,False,5754.7169811320755,90.0095,230.16438411584855,2.1056600309516122
rodriguez,0.8350877192982457,2.625,7,0.6730769230769231,0.9331150786097682,0.12096865731304686,False,4295.774647887324,75.875,203.81929136598836,1.7598424176450822
hungaroring,0.787719298245614,2.6315789473684212,9,0.5769230769230769,0.8647334579202433,0.11210369196276418,False,4357.142857142857,75.419,207.98093697495705,1.616101009574002
baku,0.8771929824561402,3.0625,7,0.5769230769230769,1.170067898906073,0.15168712406474644,True,5980.392156862745,101.218,212.70339035256455,1.3946480077851424
miami,0.8052631578947368,2.789473684210526,5,0.5576923076923077,0.948155578860973,0.12291850161672646,True,5350.877192982456,87.5195,220.10132478746846,1.1413239597725737
yas_marina,0.7661654135338346,2.6157894736842104,8,0.5384615384615384,0.818851021719127,0.10615551169139839,False,5258.620689655172,83.6345,226.3543691031646,1.1947989693810463
red_bull_ring,0.780701754385965,2.736842105263158,11,0.5,1.0089604499524407,0.13080122024665852,False,4295.774647887324,63.971000000000004,241.74686549208806,1.624840625680259
albert_park,0.7843137254901962,2.8823529411764706,7,0.4807692307692308,1.2810777013584949,0.16607838947143477,True,5258.620689655172,77.868,243.1169990594162,1.7760826013253324
spa,0.7228070175438598,2.9,9,0.3653846153846154,0.8089378547240902,0.10487037277488205,False,6931.818181818182,103.66499999999999,240.72295812999042,1.56818679023887
silverstone,0.7361971104231166,3.0248538011695905,10,0.3653846153846154,1.0885200553250347,0.1411152949614488,False,5865.384615384615,85.8555,245.94096610449668,1.6831028747814716
villeneuve,0.7852941176470588,3.466666666666667,7,0.30769230769230765,1.1298698860329321,0.14647587010970234,True,4357.142857142857,71.742,218.64060502514963,2.006986344871404
bahrain,0.7230392156862746,3.3125,9,0.28846153846153844,0.9010533035429301,0.1168121819009393,False,5350.877192982456,88.997,216.44727232082928,1.4797736998253455
sochi,0.6934984520123839,3.0198412698412698,4,0.28846153846153844,0.9821058091286307,0.12731979558902634,True,5754.7169811320755,91.5075,226.39653724640573,2.3810826485167498
losail,0.718266253869969,3.3986928104575167,4,0.23076923076923075,1.0367963673373521,0.1344098571965045,False,5350.877192982456,80.67349999999999,238.7792508659826,1.310807888175645
americas,0.6970588235294117,3.4375,7,0.18269230769230768,1.0298189362504715,0.13350530588292825,False,5446.428571428572,92.50999999999999,211.94619886653183,1.320692967916969
monza,0.6298245614035087,3.2,9,0.1730769230769231,1.0534452650635224,0.13656821349129042,False,5754.7169811320755,79.327,261.15926648020815,1.5143682146594795
interlagos,0.6838235294117648,3.4375,7,0.14423076923076922,1.0440560644013996,0.13535100135596412,False,4295.774647887324,69.511,222.47973317020856,1.3233205010864078
imola,0.6676986584107326,3.5555555555555554,5,0.07692307692307691,1.00154449054864,0.12983981830135677,False,4841.269841269841,74.67,233.40794734928923,1.3445402391174408
vegas,0.3928571428571428,4.8,3,0.02,1.0122110254890337,0.13122262353031583,True,6100.0,92.726,236.82677997541143,1.2844293941289342
hockenheimring,0.1455720749838397,5.566964285714286,2,,1.3094744121715076,0.16975972745203513,False,4658.931902985074,71.48949999999999,234.6100455416008,1.892939392237262
istanbul,0.4596417514374171,4.7,2,,0.866731754942641,0.11236275037180014,False,5258.620689655172,95.31649999999999,198.61235444816606,3.594966241569482
mugello,0.9160839160839163,3.1666666666666665,1,,1.4170954356846475,0.18371167294244217,False,5169.4915254237285,75.144,247.6600858554964,1.9123283296071416
nurburgring,0.7464285714285712,4.133333333333334,1,,1.1856846473029046,0.15371167294244217,False,5083.333333333333,85.269,214.61492453294866,1.5017180921554099
portimao,0.8535087719298244,2.3421052631578947,2,,0.7952282157676348,0.10309306078536846,False,4621.212121212121,77.21700000000001,215.44949475327496,1.3588506552559405
