driver_id,driver_code,constructor_id,season,round,race_id,circuit_id,team_effect,driver_effect,driver_obs_weight,is_rookie,strength,dnf_probability,strength_sd,win_probability,podium_probability,top10_probability,dnf_probability_sim,expected_finish,expected_finish_if_classified,pole_probability,finish_p10,finish_p50,finish_p90,pace_rank_score,predicted_rank,stage,score
antonelli,ANT,mercedes,2026,14,2026_14,madring,1.2110172612607257,0.5592933592165436,12.44634966608714,False,1.7703106204772694,0.06291672557079114,0.08739929039441338,0.27959,0.62615,0.91954,0.07931,4.03122,2.914879058097731,0.25144,1,3,8,-2.914879058097731,1,PRE_WEEKEND,-2.914879058097731
russell,RUS,mercedes,2026,14,2026_14,madring,1.2110172612607257,0.47013132241162126,11.773900040337228,False,1.681148583672347,0.1357243280253666,0.09137736117843565,0.19474,0.50186,0.82844,0.16942,5.63114,3.296070215993643,0.20166,1,3,17,-3.296070215993643,2,PRE_WEEKEND,-3.296070215993643
norris,NOR,mclaren,2026,14,2026_14,madring,1.0571496177307265,0.5256028084730742,11.717194454785744,False,1.5827524262038006,0.14626921918050584,0.09172943961211345,0.14683,0.43416,0.8167,0.1798,6.10505,3.679578151670324,0.1542,1,4,17,-3.679578151670324,3,PRE_WEEKEND,-3.679578151670324
hamilton,HAM,ferrari,2026,14,2026_14,madring,1.0765424407125797,0.4340408437373968,12.496136980701706,False,1.5105832844499765,0.06836472892776213,0.08711848647706447,0.1367,0.4408,0.90939,0.08438,5.03892,3.9219982088639394,0.12541,1,4,9,-3.9219982088639394,4,PRE_WEEKEND,-3.9219982088639394
leclerc,LEC,ferrari,2026,14,2026_14,madring,1.0765424407125797,0.35918465401555555,11.467404495668847,False,1.435727094728135,0.16928589538003502,0.09331321318928726,0.09222,0.32606,0.78333,0.20896,7.023,4.306520529935275,0.10075,2,5,18,-4.306520529935275,5,PRE_WEEKEND,-4.306520529935275
piastri,PIA,mclaren,2026,14,2026_14,madring,1.0571496177307265,0.3154484312560502,11.548555114401838,False,1.3725980489867766,0.13179847566329445,0.09279271992196766,0.07922,0.30816,0.82671,0.1629,6.63556,4.551367817465058,0.08249,2,5,17,-4.551367817465058,6,PRE_WEEKEND,-4.551367817465058
max_verstappen,VER,red_bull,2026,14,2026_14,madring,0.7319342813455614,0.5741566262560028,11.173977081300233,False,1.3060909076015643,0.19614091741077982,0.09524496845568198,0.05795,0.23994,0.74169,0.24455,7.96401,4.886663577999868,0.06811,2,6,18,-4.886663577999868,7,PRE_WEEKEND,-4.886663577999868
lawson,LAW,red_bull,2026,14,2026_14,madring,0.7319342813455614,0.07599906573930726,12.204398152549283,False,0.8079333470848686,0.154369961555314,0.08879009786873075,0.0092,0.06736,0.72319,0.19373,9.21024,7.127451101988168,0.01088,4,8,18,-7.127451101988168,8,PRE_WEEKEND,-7.127451101988168
arvid_lindblad,LIN,rb,2026,14,2026_14,madring,0.3367336025100351,0.1698922526772669,11.14188516160393,False,0.506625855187302,0.04477446838263707,0.0954611061094833,0.00212,0.02751,0.74509,0.05566,8.92518,8.385147298642439,0.00277,5,8,13,-8.385147298642439,9,PRE_WEEKEND,-8.385147298642439
gasly,GAS,alpine,2026,14,2026_14,madring,0.10296859353215125,0.22536335778675798,12.285588065412883,False,0.32833195131890924,0.0864093580706008,0.08831848629067023,0.00056,0.01242,0.61155,0.1061,10.19497,9.235473766640563,0.00101,6,10,16,-9.235473766640563,10,PRE_WEEKEND,-9.235473766640563
tsunoda,TSU,rb,2026,14,2026_14,madring,0.3367336025100351,-0.2289770567774879,4.147719354966654,False,0.1077565457325472,0.07328363204357209,0.1888714333841243,0.00035,0.0056,0.49326,0.08944,10.93772,10.201732999472853,0.00056,7,11,16,-10.201732999472853,11,PRE_WEEKEND,-10.201732999472853
bortoleto,BOR,audi,2026,14,2026_14,madring,0.037806649802371986,0.026920671441092392,12.13300725691943,False,0.06472732124346438,0.08824542643876553,0.08920897063488321,0.0002,0.00396,0.45379,0.11023,11.30595,10.41338772941322,0.00027,7,11,17,-10.41338772941322,12,PRE_WEEKEND,-10.41338772941322
colapinto,COL,alpine,2026,14,2026_14,madring,0.10296859353215125,-0.13274551325612519,12.450681865321668,False,-0.029776919723973935,0.04279839297387524,0.08737478460610931,0.00018,0.00275,0.4332,0.05401,11.19856,10.7801033837567,0.00016,7,11,15,-10.7801033837567,13,PRE_WEEKEND,-10.7801033837567
hulkenberg,HUL,audi,2026,14,2026_14,madring,0.037806649802371986,-0.006276214573733753,11.207787033438759,False,0.031530435228638236,0.21028381574723215,0.0950183161404873,0.00013,0.00297,0.34736,0.26135,12.73499,10.658606918026129,0.00028,8,12,19,-10.658606918026129,14,PRE_WEEKEND,-10.658606918026129
bearman,BEA,haas,2026,14,2026_14,madring,-0.43137838029199604,-0.16468289522084426,11.244103346633691,False,-0.5960612755128403,0.21896866889052777,0.09477606046147127,1e-05,0.00015,0.10643,0.27055,14.78272,13.161998766193708,1e-05,10,15,20,-13.161998766193708,15,PRE_WEEKEND,-13.161998766193708
ocon,OCO,haas,2026,14,2026_14,madring,-0.43137838029199604,-0.22085884920978402,11.876209701218336,False,-0.6522372295017801,0.13064728499095604,0.09074892241465496,0.0,8e-05,0.11527,0.16218,14.19885,13.24042157026569,0.0,10,14,19,-13.24042157026569,16,PRE_WEEKEND,-13.24042157026569
sainz,SAI,williams,2026,14,2026_14,madring,-0.6377562726076516,-0.05064892118594834,11.847501144361587,False,-0.6884051937935999,0.12921756171492843,0.09092439103886982,0.0,6e-05,0.10836,0.15888,14.28107,13.352779627163782,0.0,10,14,19,-13.352779627163782,17,PRE_WEEKEND,-13.352779627163782
albon,ALB,williams,2026,14,2026_14,madring,-0.6377562726076516,-0.4383107955412621,11.15062956898598,False,-1.0760670681489137,0.23278415096571248,0.09540211574464526,0.0,1e-05,0.0323,0.28742,16.04934,14.615888742316653,0.0,12,16,20,-14.615888742316653,18,PRE_WEEKEND,-14.615888742316653
alonso,ALO,aston_martin,2026,14,2026_14,madring,-1.7588784531010535,-0.3156618700496233,10.755136630700186,False,-2.0745403231506767,0.3554066568205663,0.09814515378836192,0.0,0.0,0.00205,0.44081,18.49013,16.742073356104367,0.0,15,19,22,-16.742073356104367,19,PRE_WEEKEND,-16.742073356104367
perez,PER,cadillac,2026,14,2026_14,madring,-1.6513876086504464,-0.5332865144617566,9.735797462557455,False,-2.184674123112203,0.35752081876556824,0.10600042941707624,0.0,0.0,0.00171,0.44039,18.63582,16.90302174728829,0.0,15,19,22,-16.90302174728829,20,PRE_WEEKEND,-16.90302174728829
bottas,BOT,cadillac,2026,14,2026_14,madring,-1.6513876086504464,-0.6921226049966899,9.039387376094485,False,-2.343510213647136,0.44056174679857485,0.11213195138820534,0.0,0.0,0.00042,0.54788,19.41771,17.389741661505795,0.0,16,20,22,-17.389741661505795,21,PRE_WEEKEND,-17.389741661505795
