raceId,race_name,actual_winner,grid_pick,grid_correct,final_ranker_pick,final_ranker_correct
1145,Australian Grand Prix,NOR,NOR,1,PIA,0
1146,Chinese Grand Prix,PIA,PIA,1,PIA,1
1147,Japanese Grand Prix,VER,VER,1,VER,1
1148,Bahrain Grand Prix,PIA,PIA,1,PIA,1
1149,Saudi Arabian Grand Prix,PIA,VER,0,VER,0
1150,Miami Grand Prix,PIA,VER,0,VER,0
1151,Emilia Romagna Grand Prix,VER,PIA,0,PIA,0
1152,Monaco Grand Prix,NOR,NOR,1,NOR,1
1153,Spanish Grand Prix,PIA,PIA,1,PIA,1
1154,Canadian Grand Prix,RUS,RUS,1,RUS,1
1155,Austrian Grand Prix,NOR,NOR,1,NOR,1
1156,British Grand Prix,NOR,VER,0,VER,0
1157,Belgian Grand Prix,PIA,NOR,0,NOR,0
1158,Hungarian Grand Prix,NOR,LEC,0,NOR,1
1159,Dutch Grand Prix,PIA,PIA,1,PIA,1
1160,Italian Grand Prix,VER,VER,1,VER,1
1161,Azerbaijan Grand Prix,VER,VER,1,VER,1
1162,Singapore Grand Prix,RUS,RUS,1,RUS,1
1163,United States Grand Prix,VER,VER,1,VER,1
1164,Mexico City Grand Prix,NOR,NOR,1,NOR,1
1165,São Paulo Grand Prix,NOR,NOR,1,NOR,1
1166,Las Vegas Grand Prix,VER,NOR,0,NOR,0
1167,Qatar Grand Prix,VER,PIA,0,NOR,0
1168,Abu Dhabi Grand Prix,VER,VER,1,VER,1
