season,entries,retirements,dnf_rate,distinct_causes,generic_cause_share,lapped_rows,dnf_rate_if_lapped_counted
2014,407,77,0.1891891891891892,25,0.1038961038961039,0,0.1891891891891892
2015,378,68,0.17989417989417988,20,0.17647058823529413,0,0.17989417989417988
2016,462,74,0.16017316017316016,19,0.12162162162162163,0,0.16017316017316016
2017,400,85,0.2125,22,0.0,0,0.2125
2018,420,80,0.19047619047619047,24,0.0125,0,0.19047619047619047
2019,420,49,0.11666666666666667,20,0.02040816326530612,0,0.11666666666666667
2020,340,51,0.15,18,0.0196078431372549,0,0.15
2021,440,49,0.11136363636363636,20,0.02040816326530612,0,0.11136363636363636
2022,440,63,0.1431818181818182,21,0.0,0,0.1431818181818182
2023,440,45,0.10227272727272728,4,0.8888888888888888,70,0.26136363636363635
2024,479,44,0.0918580375782881,2,0.9772727272727273,138,0.37995824634655534
2025,479,52,0.10855949895615867,2,0.8846153846153846,89,0.29436325678496866
2026,286,49,0.17132867132867133,2,0.9591836734693877,91,0.4825174825174825
