driver_id,driver_code,constructor_id,season,round,race_id,circuit_id,source,observed_at,cutoff_utc,team_effect,driver_effect,driver_obs_weight,is_rookie,strength,dnf_probability,strength_sd,win_probability,podium_probability,top10_probability,dnf_probability_sim,expected_finish,expected_finish_if_classified,pole_probability,finish_p10,finish_p50,finish_p90,pace_rank_score,win_probability_rank,predicted_rank,stage,evaluation_scope,practice_used,score,market_probability,implied_raw,overround,edge_pp,model_rank,market_rank,rank_disagreement
antonelli,ANT,mercedes,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,1.2110172612607255,0.5592933592165436,12.44634966608714,False,1.7703106204772694,0.0629167255707911,0.0873992903944133,0.27688,0.62317,0.93421,0.06381,3.94269,2.988292974716671,0.25144,1,3,7,-2.988292974716671,1,1,PRE_WEEKEND,timestamped_snapshot,False,-2.988292974716671,0.29644324954117685,0.36363636363636365,1.2266643419918843,-1.956324954117683,1.0,1.0,0.0
russell,RUS,mercedes,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,1.2110172612607255,0.4701313224116212,11.773900040337228,False,1.681148583672347,0.1357243280253666,0.0913773611784356,0.19738,0.51062,0.8606,0.1361,5.35896,3.3690704942701704,0.20166,1,3,17,-3.3690704942701704,2,2,PRE_WEEKEND,timestamped_snapshot,False,-3.3690704942701704,0.14822162477058842,0.18181818181818182,1.2266643419918843,4.915837522941158,2.0,3.0,-1.0
norris,NOR,mclaren,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,1.0571496177307265,0.5256028084730742,11.717194454785744,False,1.5827524262038006,0.1462692191805058,0.0917294396121134,0.14859,0.43983,0.85003,0.14483,5.83659,3.7672860366944585,0.1542,1,4,17,-3.7672860366944585,3,3,PRE_WEEKEND,timestamped_snapshot,False,-3.7672860366944585,0.1918162202913497,0.23529411764705882,1.2266643419918843,-4.322622029134971,3.0,2.0,1.0
hamilton,HAM,ferrari,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,1.0765424407125797,0.4340408437373968,12.496136980701706,False,1.5105832844499765,0.0683647289277621,0.0871184864770644,0.13348,0.43202,0.9237,0.06825,4.98863,4.031253018513549,0.12541,1,4,9,-4.031253018513549,4,4,PRE_WEEKEND,timestamped_snapshot,False,-4.031253018513549,0.10190236702977953,0.125,1.2266643419918843,3.1577632970220453,4.0,4.0,0.0
leclerc,LEC,ferrari,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,1.0765424407125797,0.3591846540155555,11.467404495668848,False,1.435727094728135,0.169285895380035,0.0933132131892872,0.09321,0.3305,0.82063,0.16909,6.73726,4.409514869239749,0.10075,2,5,18,-4.409514869239749,5,5,PRE_WEEKEND,timestamped_snapshot,False,-4.409514869239749,0.09057988180424847,0.1111111111111111,1.2266643419918843,0.2630118195751527,5.0,5.0,0.0
piastri,PIA,mclaren,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,1.0571496177307265,0.3154484312560502,11.548555114401838,False,1.3725980489867766,0.1317984756632944,0.0927927199219676,0.07909,0.30696,0.8555,0.13109,6.44143,4.666513217709544,0.08249,2,5,17,-4.666513217709544,6,6,PRE_WEEKEND,timestamped_snapshot,False,-4.666513217709544,0.06793491135318636,0.08333333333333333,1.2266643419918843,1.1155088646813638,6.0,7.0,-1.0
max_verstappen,VER,red_bull,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,0.7319342813455614,0.5741566262560028,11.173977081300231,False,1.3060909076015643,0.1961409174107798,0.0952449684556819,0.05943,0.24522,0.78581,0.19648,7.61379,4.999900438072481,0.06811,2,6,19,-4.999900438072481,7,7,PRE_WEEKEND,timestamped_snapshot,False,-4.999900438072481,0.07411081238529421,0.09090909090909091,1.2266643419918843,-1.4680812385294215,7.0,6.0,1.0
lawson,LAW,red_bull,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,0.7319342813455614,0.0759990657393072,12.204398152549285,False,0.8079333470848686,0.154369961555314,0.0887900978687307,0.00883,0.06378,0.74433,0.1565,9.09485,7.321719027860107,0.01088,4,8,18,-7.321719027860107,8,8,PRE_WEEKEND,timestamped_snapshot,False,-7.321719027860107,0.005398800902239975,0.006622516556291391,1.2266643419918843,0.34311990977600243,8.0,8.0,0.0
arvid_lindblad,LIN,rb,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,0.3367336025100351,0.1698922526772669,11.14188516160393,False,0.506625855187302,0.044774468382637,0.0954611061094833,0.00184,0.02424,0.72605,0.0443,9.09836,8.648372920372502,0.00277,5,9,13,-8.648372920372502,9,9,PRE_WEEKEND,timestamped_snapshot,False,-8.648372920372502,0.0020329649282749035,0.0024937655860349127,1.2266643419918843,-0.019296492827490346,9.0,9.0,0.0
gasly,GAS,alpine,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,0.1029685935321512,0.2253633577867579,12.285588065412885,False,0.3283319513189092,0.0864093580706008,0.0883184862906702,0.00053,0.01074,0.59124,0.08497,10.31942,9.517119657278997,0.00101,6,10,15,-9.517119657278997,10,10,PRE_WEEKEND,timestamped_snapshot,False,-9.517119657278997,0.0020329649282749035,0.0024937655860349127,1.2266643419918843,-0.15029649282749033,10.0,9.0,1.0
