circuit_id,overtakes_per_100_laps,total_passes,n_races
monaco,10.214237516869096,513,4
imola,16.75485008818342,387,2
jeddah,17.22222222222222,431,3
marina_bay,18.33616298811545,653,3
baku,18.369453044375646,513,3
miami,18.70960295475531,821,4
americas,18.89097744360902,658,3
silverstone,18.899572649572647,788,4
hungaroring,19.29406850459482,994,4
red_bull_ring,20.318754633061527,1057,4
villeneuve,20.603174603174605,902,4
zandvoort,22.72671568627451,1357,4
suzuka,23.379578246392896,857,4
rodriguez,23.446561723280862,809,3
interlagos,23.541247484909455,786,3
monza,23.75349676447871,992,4
albert_park,24.164366290981,946,4
catalunya,25.89126559714795,1273,4
spa,27.811004784688997,913,4
vegas,28.48070175438596,499,2
yas_marina,29.482758620689655,939,3
shanghai,32.563025210084035,810,3
losail,34.853801169590646,1219,3
bahrain,40.66047471620227,1450,3
