race_id,status,laps,season,session_key,source
2023_01,downloaded,520.0,,,openf1
2023_02,downloaded,549.0,,,openf1
2023_03,downloaded,286.0,,,openf1
2023_05,downloaded,440.0,,,openf1
,calendar_match_failed,,2023.0,9080.0,openf1
2023_06,downloaded,548.0,,,openf1
2023_07,downloaded,598.0,,,openf1
2023_08,downloaded,653.0,,,openf1
2023_10,downloaded,492.0,,,openf1
2023_11,downloaded,511.0,,,openf1
2023_13,downloaded,511.0,,,openf1
2023_14,downloaded,344.0,,,openf1
2023_15,downloaded,455.0,,,openf1
2023_16,downloaded,407.0,,,openf1
2023_19,downloaded,563.0,,,openf1
2023_21,downloaded,734.0,,,openf1
2023_22,downloaded,259.0,,,openf1
2024_01,downloaded,491.0,,,openf1
2024_02,downloaded,508.0,,,openf1
2024_03,downloaded,510.0,,,openf1
2024_04,downloaded,58.0,,,openf1
2024_07,downloaded,551.0,,,openf1
2024_08,downloaded,655.0,,,openf1
2024_09,downloaded,415.0,,,openf1
2024_10,downloaded,550.0,,,openf1
2024_12,downloaded,457.0,,,openf1
2024_13,downloaded,402.0,,,openf1
2024_14,downloaded,442.0,,,openf1
2024_15,downloaded,565.0,,,openf1
2024_16,downloaded,418.0,,,openf1
2024_17,downloaded,450.0,,,openf1
2024_18,downloaded,500.0,,,openf1
2024_20,downloaded,539.0,,,openf1
2024_22,downloaded,468.0,,,openf1
2024_24,downloaded,486.0,,,openf1
2025_01,downloaded,532.0,,,openf1
2025_03,downloaded,133.0,,,openf1
2025_04,downloaded,502.0,,,openf1
2025_05,downloaded,357.0,,,openf1
2025_07,downloaded,478.0,,,openf1
2025_08,downloaded,591.0,,,openf1
2025_09,downloaded,561.0,,,openf1
2025_10,downloaded,577.0,,,openf1
2025_11,downloaded,643.0,,,openf1
2025_12,downloaded,516.0,,,openf1
2025_14,downloaded,545.0,,,openf1
2025_15,downloaded,397.0,,,openf1
2025_16,downloaded,493.0,,,openf1
2025_17,downloaded,401.0,,,openf1
2025_18,downloaded,301.0,,,openf1
2025_20,downloaded,600.0,,,openf1
2025_22,downloaded,262.0,,,openf1
2025_24,downloaded,564.0,,,openf1
