race_id,status,overtakes,pit_stops,season
2023_01,downloaded,394.0,0.0,
2023_02,downloaded,168.0,0.0,
2023_03,downloaded,264.0,0.0,
2023_04,downloaded,177.0,0.0,
2023_05,downloaded,215.0,0.0,
,calendar_match_failed,,,2023.0
2023_06,downloaded,146.0,0.0,
2023_07,downloaded,358.0,43.0,
2023_08,downloaded,181.0,33.0,
2023_09,downloaded,267.0,63.0,
2023_10,downloaded,145.0,24.0,
2023_11,downloaded,238.0,36.0,
2023_12,downloaded,322.0,37.0,
2023_13,downloaded,517.0,101.0,
2023_14,downloaded,231.0,25.0,
2023_15,downloaded,212.0,25.0,
2023_16,downloaded,265.0,43.0,
2023_17,downloaded,629.0,54.0,
2023_18,downloaded,271.0,36.0,
2023_19,downloaded,283.0,38.0,
2023_20,downloaded,234.0,67.0,
2023_21,downloaded,341.0,31.0,
2023_22,downloaded,354.0,37.0,
2024_01,downloaded,414.0,43.0,
2024_02,downloaded,108.0,19.0,
2024_03,downloaded,211.0,36.0,
2024_04,downloaded,236.0,54.0,
2024_05,downloaded,310.0,40.0,
2024_06,downloaded,201.0,28.0,
2024_07,downloaded,133.0,27.0,
2024_08,downloaded,47.0,23.0,
2024_09,downloaded,206.0,42.0,
2024_10,downloaded,334.0,42.0,
2024_11,downloaded,296.0,45.0,
2024_12,downloaded,120.0,45.0,
2024_13,downloaded,262.0,40.0,
2024_14,downloaded,251.0,34.0,
2024_15,downloaded,311.0,26.0,
2024_16,downloaded,225.0,30.0,
2024_17,downloaded,178.0,22.0,
2024_18,downloaded,216.0,23.0,
2024_19,downloaded,201.0,23.0,
2024_20,downloaded,206.0,21.0,
2024_21,downloaded,183.0,35.0,
,calendar_match_failed,,,2024.0
2024_23,downloaded,298.0,60.0,
2024_24,downloaded,243.0,28.0,
2025_01,downloaded,172.0,82.0,
2025_02,downloaded,221.0,25.0,
2025_03,downloaded,138.0,21.0,
2025_04,downloaded,642.0,42.0,
2025_05,downloaded,155.0,19.0,
2025_06,downloaded,138.0,18.0,
2025_07,downloaded,254.0,37.0,
2025_08,downloaded,188.0,40.0,
2025_09,downloaded,285.0,54.0,
2025_10,downloaded,272.0,82.0,
2025_11,downloaded,252.0,32.0,
2025_12,downloaded,291.0,35.0,
2025_13,downloaded,126.0,26.0,
2025_14,downloaded,232.0,29.0,
2025_15,downloaded,237.0,40.0,
2025_16,downloaded,202.0,19.0,
2025_17,downloaded,158.0,21.0,
2025_18,downloaded,225.0,23.0,
2025_19,downloaded,186.0,21.0,
2025_20,downloaded,320.0,27.0,
2025_21,downloaded,369.0,37.0,
2025_22,downloaded,158.0,23.0,
2025_23,downloaded,292.0,41.0,
2025_24,downloaded,342.0,27.0,
2026_01,downloaded,299.0,36.0,
2026_02,downloaded,279.0,19.0,
2026_03,downloaded,218.0,29.0,
,calendar_match_failed,,,2026.0
,calendar_match_failed,,,2026.0
2026_04,downloaded,267.0,22.0,
2026_05,downloaded,243.0,34.0,
2026_06,downloaded,132.0,86.0,
2026_07,downloaded,296.0,48.0,
2026_08,downloaded,242.0,41.0,
2026_09,downloaded,232.0,51.0,
2026_10,downloaded,214.0,28.0,
2026_11,downloaded,262.0,44.0,
2026_12,downloaded,292.0,65.0,
2026_13,downloaded,334.0,30.0,
2026_14,downloaded,0.0,0.0,
2026_15,downloaded,0.0,0.0,
2026_16,downloaded,0.0,0.0,
2026_17,downloaded,0.0,0.0,
2026_18,downloaded,0.0,0.0,
2026_19,downloaded,0.0,0.0,
2026_20,downloaded,0.0,0.0,
2026_21,downloaded,0.0,0.0,
2026_22,downloaded,0.0,0.0,
2026_23,downloaded,0.0,0.0,
