model,metric,delta,ci_low,ci_high,p_better,n_races,block_size
calibrated_championship,top1,-0.010869565217391304,-0.07608695652173914,0.043478260869565216,0.3127,92,4
calibrated_championship,top1,-0.010869565217391304,-0.06521739130434782,0.03260869565217391,0.2744,92,8
calibrated_championship,ndcg5,-0.010544182721239139,-0.03864993283060068,0.017334876406014294,0.2376,92,4
calibrated_championship,ndcg5,-0.010544182721239139,-0.03983732488715966,0.018158338283933352,0.2391,92,8
calibrated_championship,winner_logloss,0.2244852284903275,0.0803345113883153,0.38859080682443925,0.0002,92,4
calibrated_championship,winner_logloss,0.2244852284903275,0.09148590554442523,0.3756439648290119,0.0001,92,8
calibrated_state_space,top1,0.021739130434782608,-0.043478260869565216,0.08695652173913043,0.6901,92,4
calibrated_state_space,top1,0.021739130434782608,-0.043478260869565216,0.07608695652173914,0.6991,92,8
calibrated_state_space,ndcg5,-0.0023747022543414587,-0.036157191441020274,0.028346206432244937,0.4577,92,4
calibrated_state_space,ndcg5,-0.0023747022543414587,-0.03606337978554068,0.029097250877814403,0.4445,92,8
calibrated_state_space,winner_logloss,-0.017602740207572624,-0.1229458330643636,0.09060723631462778,0.6245,92,4
calibrated_state_space,winner_logloss,-0.017602740207572624,-0.1169337565247729,0.08041304758496877,0.6283,92,8
state_space,top1,0.021739130434782608,-0.043478260869565216,0.08695652173913043,0.6901,92,4
state_space,top1,0.021739130434782608,-0.043478260869565216,0.07608695652173914,0.6991,92,8
state_space,ndcg5,-0.0023747022543414587,-0.036157191441020274,0.028346206432244937,0.4577,92,4
state_space,ndcg5,-0.0023747022543414587,-0.03606337978554068,0.029097250877814403,0.4445,92,8
state_space,winner_logloss,0.3739896446386538,0.25623432508806276,0.4937240899063898,0.0,92,4
state_space,winner_logloss,0.3739896446386538,0.2596712550867872,0.4835790685356757,0.0,92,8
