outcome,probability_column,n,predicted_mean,observed_rate,ece,brier,model,ece_binning
winner,win_probability,1826,0.050383351588170866,0.050383351588170866,0.005889666909294704,0.035661748697077854,calibrated_championship,acceptance winner bins
winner,win_probability,1826,0.050383351588170866,0.050383351588170866,0.010823690088390514,0.031493830765577095,calibrated_state_space,acceptance winner bins
winner,win_probability,1826,0.050383351588170866,0.050383351588170866,0.033615060240963855,0.038025762902519175,state_space,acceptance winner bins
podium,podium_probability,1826,0.1511500547645126,0.1511500547645126,0.0817027929901424,0.09264212969879518,state_space,10 equal-width bins
top10,top10_probability,1826,0.5038310514786418,0.5038335158817087,0.10981336254107338,0.1838754794112815,state_space,10 equal-width bins
dnf,dnf_probability,1826,0.13690090075241837,0.11171960569550932,0.02518129505690906,0.09964102122165311,state_space,10 equal-width bins
finish_inside_p10_p90,finish_p10..finish_p90,1826,0.8,0.9123767798466593,0.11237677984665928,,state_space,10 equal-width bins
winner,win_probability,1826,0.050383351588170866,0.050383351588170866,0.004555366922234394,0.03281868857064622,strength_mc,acceptance winner bins
podium,podium_probability,1826,0.1511500547645126,0.1511500547645126,0.018488554216867462,0.0825370970427163,strength_mc,10 equal-width bins
top10,top10_probability,1826,0.5038335158817087,0.5038335158817087,0.055176067907995646,0.17355126027382256,strength_mc,10 equal-width bins
dnf,dnf_probability,1826,0.12045372056716203,0.11171960569550932,0.039643543153164165,0.10230182460953363,strength_mc,10 equal-width bins
finish_inside_p10_p90,finish_p10..finish_p90,1826,0.8,0.7990142387732749,0.0009857612267251126,,strength_mc,10 equal-width bins
winner,win_probability,1826,0.05038335158817087,0.050383351588170866,0.0,0.047843847479231115,uniform,acceptance winner bins
