race_id,season,kind,timed_entries,roster_entries
2014_01,2014,qualifying,21,22
2014_01,2014,race,10,22
2014_02,2014,qualifying,22,22
2014_02,2014,race,8,22
2014_03,2014,qualifying,22,22
2014_03,2014,race,15,22
2014_04,2014,qualifying,21,22
2014_04,2014,race,9,22
2014_05,2014,qualifying,21,22
2014_05,2014,race,6,22
2014_06,2014,qualifying,22,22
2014_06,2014,race,4,22
2014_07,2014,qualifying,21,22
2014_07,2014,race,10,22
2014_08,2014,qualifying,22,22
2014_08,2014,race,11,22
2014_09,2014,qualifying,22,22
2014_09,2014,race,9,22
2014_10,2014,qualifying,21,22
2014_10,2014,race,8,22
2014_11,2014,qualifying,20,22
2014_11,2014,race,13,22
2014_12,2014,qualifying,22,22
2014_12,2014,race,15,22
2014_13,2014,qualifying,22,22
2014_13,2014,race,13,22
2014_14,2014,qualifying,22,22
2014_14,2014,race,16,22
2014_15,2014,qualifying,22,22
2014_15,2014,race,9,22
2014_16,2014,qualifying,21,21
2014_16,2014,race,13,21
2014_17,2014,qualifying,18,18
2014_17,2014,race,10,18
2014_18,2014,qualifying,18,18
2014_18,2014,race,9,18
2014_19,2014,qualifying,18,20
2014_19,2014,race,12,20
2015_01,2015,qualifying,18,18
2015_01,2015,race,5,18
2015_02,2015,qualifying,19,20
2015_02,2015,race,7,20
2015_03,2015,qualifying,20,20
2015_03,2015,race,9,20
2015_04,2015,qualifying,19,20
2015_04,2015,race,7,20
2015_05,2015,qualifying,20,20
2015_05,2015,race,6,20
2015_06,2015,qualifying,20,20
2015_06,2015,race,14,20
2015_07,2015,qualifying,19,20
2015_07,2015,race,7,20
2015_08,2015,qualifying,20,20
2015_08,2015,race,6,20
2015_09,2015,qualifying,20,20
2015_09,2015,race,7,20
2015_10,2015,qualifying,20,20
2015_10,2015,race,14,20
2015_11,2015,qualifying,20,20
2015_11,2015,race,11,20
2015_12,2015,qualifying,19,20
2015_12,2015,race,6,20
2015_13,2015,qualifying,20,20
2015_13,2015,race,12,20
2015_14,2015,qualifying,20,20
2015_14,2015,race,9,20
2015_15,2015,qualifying,19,20
2015_15,2015,race,11,20
2015_16,2015,qualifying,20,20
2015_16,2015,race,12,20
2015_17,2015,qualifying,19,20
2015_17,2015,race,14,20
2015_18,2015,qualifying,19,20
2015_18,2015,race,4,20
2015_19,2015,qualifying,20,20
2015_19,2015,race,11,20
2016_01,2016,qualifying,22,22
2016_01,2016,race,13,22
2016_02,2016,qualifying,22,22
2016_02,2016,race,6,22
2016_03,2016,qualifying,20,22
2016_03,2016,race,13,22
2016_04,2016,qualifying,22,22
2016_04,2016,race,5,22
2016_05,2016,qualifying,22,22
2016_05,2016,race,8,22
2016_06,2016,qualifying,21,22
2016_06,2016,race,7,22
2016_07,2016,qualifying,21,22
2016_07,2016,race,7,22
2016_08,2016,qualifying,22,22
2016_08,2016,race,11,22
2016_09,2016,qualifying,22,22
2016_09,2016,race,8,22
2016_10,2016,qualifying,21,22
2016_10,2016,race,10,22
2016_11,2016,qualifying,22,22
2016_11,2016,race,6,22
2016_12,2016,qualifying,22,22
2016_12,2016,race,7,22
2016_13,2016,qualifying,21,22
2016_13,2016,race,15,22
2016_14,2016,qualifying,21,22
2016_14,2016,race,10,22
2016_15,2016,qualifying,22,22
2016_15,2016,race,10,22
2016_16,2016,qualifying,22,22
2016_16,2016,race,11,22
2016_17,2016,qualifying,22,22
2016_17,2016,race,11,22
2016_18,2016,qualifying,22,22
2016_18,2016,race,6,22
2016_19,2016,qualifying,21,22
2016_19,2016,race,10,22
2016_20,2016,qualifying,22,22
2016_20,2016,race,16,22
2016_21,2016,qualifying,22,22
2016_21,2016,race,12,22
2017_01,2017,qualifying,20,20
2017_01,2017,race,6,20
2017_02,2017,qualifying,20,20
2017_02,2017,race,7,20
2017_03,2017,qualifying,20,20
2017_03,2017,race,10,20
2017_04,2017,qualifying,20,20
2017_04,2017,race,8,20
2017_05,2017,qualifying,20,20
2017_05,2017,race,3,20
2017_06,2017,qualifying,20,20
2017_06,2017,race,13,20
2017_07,2017,qualifying,20,20
2017_07,2017,race,8,20
2017_08,2017,qualifying,19,20
2017_08,2017,race,12,20
2017_09,2017,qualifying,20,20
2017_09,2017,race,6,20
2017_10,2017,qualifying,20,20
2017_10,2017,race,7,20
2017_11,2017,qualifying,20,20
2017_11,2017,race,6,20
2017_12,2017,qualifying,20,20
2017_12,2017,race,16,20
2017_13,2017,qualifying,20,20
2017_13,2017,race,9,20
2017_14,2017,qualifying,20,20
2017_14,2017,race,11,20
2017_15,2017,qualifying,19,20
2017_15,2017,race,6,20
2017_16,2017,qualifying,20,20
2017_16,2017,race,9,20
2017_17,2017,qualifying,20,20
2017_17,2017,race,7,20
2017_18,2017,qualifying,19,20
2017_18,2017,race,4,20
2017_19,2017,qualifying,19,20
2017_19,2017,race,9,20
2017_20,2017,qualifying,20,20
2017_20,2017,race,8,20
2018_01,2018,qualifying,20,20
2018_01,2018,race,14,20
2018_02,2018,qualifying,20,20
2018_02,2018,race,6,20
2018_03,2018,qualifying,20,20
2018_03,2018,race,19,20
2018_04,2018,qualifying,19,20
2018_04,2018,race,13,20
2018_05,2018,qualifying,19,20
2018_05,2018,race,5,20
2018_06,2018,qualifying,19,20
2018_06,2018,race,13,20
2018_07,2018,qualifying,19,20
2018_07,2018,race,6,20
2018_08,2018,qualifying,20,20
2018_08,2018,race,10,20
2018_09,2018,qualifying,20,20
2018_09,2018,race,3,20
2018_10,2018,qualifying,18,20
2018_10,2018,race,14,20
2018_11,2018,qualifying,20,20
2018_11,2018,race,13,20
2018_12,2018,qualifying,20,20
2018_12,2018,race,6,20
2018_13,2018,qualifying,20,20
2018_13,2018,race,9,20
2018_14,2018,qualifying,20,20
2018_14,2018,race,8,20
2018_15,2018,qualifying,20,20
2018_15,2018,race,7,20
2018_16,2018,qualifying,20,20
2018_16,2018,race,7,20
2018_17,2018,qualifying,20,20
2018_17,2018,race,9,20
2018_18,2018,qualifying,20,20
2018_18,2018,race,8,20
2018_19,2018,qualifying,20,20
2018_19,2018,race,4,20
2018_20,2018,qualifying,20,20
2018_20,2018,race,9,20
2018_21,2018,qualifying,20,20
2018_21,2018,race,8,20
2019_01,2019,qualifying,20,20
2019_01,2019,race,6,20
2019_02,2019,qualifying,20,20
2019_02,2019,race,11,20
2019_03,2019,qualifying,18,20
2019_03,2019,race,6,20
2019_04,2019,qualifying,18,20
2019_04,2019,race,9,20
2019_05,2019,qualifying,20,20
2019_05,2019,race,16,20
2019_06,2019,qualifying,20,20
2019_06,2019,race,11,20
2019_07,2019,qualifying,20,20
2019_07,2019,race,5,20
2019_08,2019,qualifying,20,20
2019_08,2019,race,6,20
2019_09,2019,qualifying,20,20
2019_09,2019,race,5,20
2019_10,2019,qualifying,20,20
2019_10,2019,race,13,20
2019_11,2019,qualifying,19,20
2019_11,2019,race,13,20
2019_12,2019,qualifying,20,20
2019_12,2019,race,4,20
2019_13,2019,qualifying,19,20
2019_13,2019,race,10,20
2019_14,2019,qualifying,19,20
2019_14,2019,race,8,20
2019_15,2019,qualifying,19,20
2019_15,2019,race,17,20
2019_16,2019,qualifying,20,20
2019_16,2019,race,15,20
2019_17,2019,qualifying,18,20
2019_17,2019,race,5,20
2019_18,2019,qualifying,20,20
2019_18,2019,race,8,20
2019_19,2019,qualifying,20,20
2019_19,2019,race,7,20
2019_20,2019,qualifying,19,20
2019_20,2019,race,15,20
2019_21,2019,qualifying,20,20
2019_21,2019,race,6,20
2020_01,2020,qualifying,20,20
2020_01,2020,race,11,20
2020_02,2020,qualifying,19,20
2020_02,2020,race,8,20
2020_03,2020,qualifying,20,20
2020_03,2020,race,5,20
2020_04,2020,qualifying,20,20
2020_04,2020,race,16,20
2020_05,2020,qualifying,20,20
2020_05,2020,race,13,20
2020_06,2020,qualifying,20,20
2020_06,2020,race,3,20
2020_07,2020,qualifying,20,20
2020_07,2020,race,17,20
2020_08,2020,qualifying,20,20
2020_08,2020,race,16,20
2020_09,2020,qualifying,20,20
2020_09,2020,race,12,20
2020_10,2020,qualifying,20,20
2020_10,2020,race,10,20
2020_11,2020,qualifying,20,20
2020_11,2020,race,15,20
2020_12,2020,qualifying,20,20
2020_12,2020,race,4,20
2020_13,2020,qualifying,20,20
2020_13,2020,race,15,20
2020_14,2020,qualifying,20,20
2020_14,2020,race,10,20
2020_15,2020,qualifying,20,20
2020_15,2020,race,9,20
2020_16,2020,qualifying,20,20
2020_16,2020,race,17,20
2020_17,2020,qualifying,20,20
2020_17,2020,race,10,20
2021_01,2021,qualifying,20,20
2021_01,2021,race,11,20
2021_02,2021,qualifying,19,20
2021_02,2021,race,13,20
2021_03,2021,qualifying,20,20
2021_03,2021,race,11,20
2021_04,2021,qualifying,20,20
2021_04,2021,race,7,20
2021_05,2021,qualifying,19,20
2021_05,2021,race,7,20
2021_06,2021,qualifying,18,20
2021_06,2021,race,16,20
2021_07,2021,qualifying,18,20
2021_07,2021,race,11,20
2021_08,2021,qualifying,20,20
2021_08,2021,race,4,20
2021_09,2021,qualifying,20,20
2021_09,2021,race,9,20
2021_10,2021,qualifying,20,20
2021_10,2021,race,11,20
2021_11,2021,qualifying,19,20
2021_11,2021,race,9,20
2021_12,2021,qualifying,20,20
2021_12,2021,race,20,20
2021_13,2021,qualifying,20,20
2021_13,2021,race,3,20
2021_14,2021,qualifying,20,20
2021_14,2021,race,15,20
2021_15,2021,qualifying,19,20
2021_15,2021,race,11,20
2021_16,2021,qualifying,20,20
2021_16,2021,race,9,20
2021_17,2021,qualifying,20,20
2021_17,2021,race,8,20
2021_18,2021,qualifying,20,20
2021_18,2021,race,5,20
2021_19,2021,qualifying,20,20
2021_19,2021,race,6,20
2021_20,2021,qualifying,20,20
2021_20,2021,race,8,20
2021_21,2021,qualifying,20,20
2021_21,2021,race,12,20
2021_22,2021,qualifying,20,20
2021_22,2021,race,11,20
2022_01,2022,qualifying,20,20
2022_01,2022,race,17,20
2022_02,2022,qualifying,19,20
2022_02,2022,race,12,20
2022_03,2022,qualifying,19,20
2022_03,2022,race,12,20
2022_04,2022,qualifying,19,20
2022_04,2022,race,9,20
2022_05,2022,qualifying,19,20
2022_05,2022,race,15,20
2022_06,2022,qualifying,20,20
2022_06,2022,race,8,20
2022_07,2022,qualifying,20,20
2022_07,2022,race,14,20
2022_08,2022,qualifying,20,20
2022_08,2022,race,10,20
2022_09,2022,qualifying,20,20
2022_09,2022,race,17,20
2022_10,2022,qualifying,20,20
2022_10,2022,race,14,20
2022_11,2022,qualifying,20,20
2022_11,2022,race,5,20
2022_12,2022,qualifying,20,20
2022_12,2022,race,15,20
2022_13,2022,qualifying,20,20
2022_13,2022,race,7,20
2022_14,2022,qualifying,20,20
2022_14,2022,race,15,20
2022_15,2022,qualifying,20,20
2022_15,2022,race,17,20
2022_16,2022,qualifying,20,20
2022_16,2022,race,12,20
2022_17,2022,qualifying,20,20
2022_17,2022,race,12,20
2022_18,2022,qualifying,20,20
2022_18,2022,race,18,20
2022_19,2022,qualifying,20,20
2022_19,2022,race,17,20
2022_20,2022,qualifying,20,20
2022_20,2022,race,6,20
2022_21,2022,qualifying,20,20
2022_21,2022,race,16,20
2022_22,2022,qualifying,20,20
2022_22,2022,race,11,20
2023_01,2023,qualifying,20,20
2023_01,2023,race,11,20
2023_02,2023,qualifying,20,20
2023_02,2023,race,17,20
2023_03,2023,qualifying,19,20
2023_03,2023,race,12,20
2023_04,2023,qualifying,20,20
2023_04,2023,race,16,20
2023_05,2023,qualifying,20,20
2023_05,2023,race,18,20
2023_06,2023,qualifying,20,20
2023_06,2023,race,8,20
2023_07,2023,qualifying,20,20
2023_07,2023,race,12,20
2023_08,2023,qualifying,20,20
2023_08,2023,race,14,20
2023_09,2023,qualifying,20,20
2023_09,2023,race,11,20
2023_10,2023,qualifying,20,20
2023_10,2023,race,17,20
2023_11,2023,qualifying,20,20
2023_11,2023,race,9,20
2023_12,2023,qualifying,20,20
2023_12,2023,race,18,20
2023_13,2023,qualifying,20,20
2023_13,2023,race,17,20
2023_14,2023,qualifying,20,20
2023_14,2023,race,16,20
2023_15,2023,qualifying,20,20
2023_15,2023,race,15,20
2023_16,2023,qualifying,19,20
2023_16,2023,race,10,20
2023_17,2023,qualifying,20,20
2023_17,2023,race,13,20
2023_18,2023,qualifying,20,20
2023_18,2023,race,14,20
2023_19,2023,qualifying,19,20
2023_19,2023,race,15,20
2023_20,2023,qualifying,20,20
2023_20,2023,race,9,20
2023_21,2023,qualifying,20,20
2023_21,2023,race,17,20
2023_22,2023,qualifying,19,20
2023_22,2023,race,17,20
2024_01,2024,qualifying,20,20
2024_01,2024,race,10,20
2024_02,2024,qualifying,19,20
2024_02,2024,race,12,20
2024_03,2024,qualifying,19,19
2024_03,2024,race,9,19
2024_04,2024,qualifying,20,20
2024_04,2024,race,9,20
2024_05,2024,qualifying,20,20
2024_05,2024,race,17,20
2024_06,2024,qualifying,20,20
2024_06,2024,race,19,20
2024_07,2024,qualifying,19,20
2024_07,2024,race,9,20
2024_08,2024,qualifying,20,20
2024_08,2024,race,7,20
2024_09,2024,qualifying,20,20
2024_09,2024,race,14,20
2024_10,2024,qualifying,20,20
2024_10,2024,race,11,20
2024_11,2024,qualifying,20,20
2024_11,2024,race,12,20
2024_12,2024,qualifying,20,20
2024_12,2024,race,12,20
2024_13,2024,qualifying,20,20
2024_13,2024,race,11,20
2024_14,2024,qualifying,20,20
2024_14,2024,race,19,20
2024_15,2024,qualifying,18,20
2024_15,2024,race,8,20
2024_16,2024,qualifying,20,20
2024_16,2024,race,13,20
2024_17,2024,qualifying,19,20
2024_17,2024,race,14,20
2024_18,2024,qualifying,20,20
2024_18,2024,race,7,20
2024_19,2024,qualifying,20,20
2024_19,2024,race,12,20
2024_20,2024,qualifying,20,20
2024_20,2024,race,8,20
2024_21,2024,qualifying,20,20
2024_21,2024,race,15,20
2024_22,2024,qualifying,20,20
2024_22,2024,race,16,20
2024_23,2024,qualifying,20,20
2024_23,2024,race,14,20
2024_24,2024,qualifying,20,20
2024_24,2024,race,10,20
2025_01,2025,qualifying,19,20
2025_01,2025,race,14,20
2025_02,2025,qualifying,20,20
2025_02,2025,race,13,20
2025_03,2025,qualifying,20,20
2025_03,2025,race,19,20
2025_04,2025,qualifying,20,20
2025_04,2025,race,18,20
2025_05,2025,qualifying,20,20
2025_05,2025,race,14,20
2025_06,2025,race,13,20
2025_07,2025,qualifying,19,20
2025_07,2025,race,18,20
2025_08,2025,qualifying,20,20
2025_08,2025,race,5,20
2025_09,2025,qualifying,20,20
2025_09,2025,race,17,20
2025_10,2025,qualifying,20,20
2025_10,2025,race,8,20
2025_11,2025,qualifying,20,20
2025_11,2025,race,6,20
2025_12,2025,qualifying,20,20
2025_12,2025,race,14,20
2025_13,2025,qualifying,20,20
2025_13,2025,race,19,20
2025_14,2025,qualifying,20,20
2025_14,2025,race,9,20
2025_15,2025,qualifying,19,20
2025_15,2025,race,17,20
2025_16,2025,qualifying,20,20
2025_16,2025,race,14,20
2025_17,2025,qualifying,19,20
2025_17,2025,race,17,20
2025_18,2025,qualifying,18,20
2025_18,2025,race,9,20
2025_19,2025,qualifying,19,20
2025_19,2025,race,16,20
2025_20,2025,qualifying,20,20
2025_20,2025,race,11,20
2025_21,2025,qualifying,19,20
2025_21,2025,race,17,20
2025_22,2025,qualifying,20,20
2025_22,2025,race,13,20
2025_23,2025,qualifying,20,20
2025_23,2025,race,13,20
2025_24,2025,qualifying,20,20
2025_24,2025,race,16,20
