bin,n,mean_predicted,observed_frequency,gap,weight,model
"(-0.001, 0.02]",1189,0.005218587697159689,0.00336417157275021,0.0018544161244094786,0.6511500547645126,calibrated_championship
"(0.02, 0.05]",262,0.031081396806370114,0.03435114503816794,-0.003269748231797827,0.14348302300109528,calibrated_championship
"(0.05, 0.1]",175,0.07318145777357264,0.08,-0.00681854222642736,0.09583789704271632,calibrated_championship
"(0.1, 0.2]",108,0.1612661568432499,0.18518518518518517,-0.023919028341935267,0.05914567360350493,calibrated_championship
"(0.35, 0.55]",69,0.4952516683516405,0.4492753623188406,0.045976306032799896,0.03778751369112815,calibrated_championship
"(0.55, 1.0]",23,0.5763438303955983,0.6086956521739131,-0.03235182177831475,0.012595837897042717,calibrated_championship
"(-0.001, 0.02]",1201,0.004622329277995822,0.0,0.004622329277995822,0.6577217962760131,calibrated_state_space
"(0.02, 0.05]",236,0.03624321089416779,0.029661016949152543,0.00658219394501525,0.12924424972617743,calibrated_state_space
"(0.05, 0.1]",140,0.06928626173539842,0.08571428571428572,-0.01642802397888729,0.07667031763417305,calibrated_state_space
"(0.1, 0.2]",133,0.14084724972619278,0.14285714285714285,-0.002009893130950069,0.0728368017524644,calibrated_state_space
"(0.2, 0.35]",47,0.25057901737880767,0.19148936170212766,0.05908965567668001,0.02573932092004381,calibrated_state_space
"(0.35, 0.55]",34,0.4547502795524019,0.5294117647058824,-0.07466148515348048,0.018619934282584884,calibrated_state_space
"(0.55, 1.0]",35,0.6349628739422395,0.7714285714285715,-0.13646569748633197,0.019167579408543262,calibrated_state_space
"(-0.001, 0.02]",698,0.01169785100286533,0.0,0.01169785100286533,0.3822562979189485,state_space
"(0.02, 0.05]",503,0.029431113320079524,0.0,0.029431113320079524,0.27546549835706463,state_space
"(0.05, 0.1]",350,0.07349028571428572,0.05142857142857143,0.02206171428571429,0.19167579408543264,state_space
"(0.1, 0.2]",218,0.1327183486238532,0.1651376146788991,-0.03241926605504589,0.11938663745892661,state_space
"(0.2, 0.35]",57,0.2522254385964912,0.6666666666666666,-0.4144412280701754,0.0312157721796276,state_space
"(-0.001, 0.02]",1252,0.0016405750798722044,0.001597444089456869,4.313099041533541e-05,0.6856516976998904,strength_mc
"(0.02, 0.05]",122,0.03378155737704918,0.03278688524590164,0.0009946721311475393,0.06681270536692223,strength_mc
"(0.05, 0.1]",155,0.07466387096774194,0.07096774193548387,0.0036961290322580637,0.08488499452354874,strength_mc
"(0.1, 0.2]",167,0.13822305389221556,0.12574850299401197,0.012474550898203596,0.0914567360350493,strength_mc
"(0.2, 0.35]",68,0.2770154411764706,0.2647058823529412,0.01230955882352941,0.03723986856516977,strength_mc
"(0.35, 0.55]",37,0.4456891891891892,0.43243243243243246,0.013256756756756749,0.020262869660460023,strength_mc
"(0.55, 1.0]",25,0.6336379999999999,0.8,-0.16636200000000012,0.013691128148959474,strength_mc
"(0.02, 0.05]",1580,0.05,0.05,0.0,0.8652792990142387,uniform
"(0.05, 0.1]",246,0.052845528455284556,0.052845528455284556,0.0,0.13472070098576122,uniform
